plotID,siteID,eventID,year,plotType,totalSampledAreaTrees,n_tree_stems,n_mapped,frac_stems_unmapped,coverage_ok,agb_mg_ha
DEJU_050,DEJU,vst_DEJU_2015,2015,tower,800.0,22,22,0.0,True,4.695456317723172
DEJU_050,DEJU,vst_DEJU_2016,2016,tower,800.0,29,29,0.0,True,4.805660481679885
DEJU_050,DEJU,vst_DEJU_2020,2020,tower,800.0,25,25,0.0,True,5.113143081950824
DEJU_050,DEJU,vst_DEJU_2021,2021,tower,800.0,26,26,0.0,True,5.299315875307171
DEJU_050,DEJU,vst_DEJU_2022,2022,tower,800.0,25,25,0.0,True,5.361616545615946
DEJU_050,DEJU,vst_DEJU_2023,2023,tower,800.0,25,25,0.0,True,5.433668025371528
DEJU_050,DEJU,vst_DEJU_2024,2024,tower,800.0,27,27,0.0,True,6.288366376349931
DEJU_050,DEJU,vst_DEJU_2025,2025,tower,800.0,27,27,0.0,True,6.000329462820028
DEJU_051,DEJU,vst_DEJU_2015,2015,tower,800.0,41,41,0.0,True,14.327532524629088
DEJU_051,DEJU,vst_DEJU_2016,2016,tower,800.0,36,36,0.0,True,12.45089179079745
DEJU_051,DEJU,vst_DEJU_2021,2021,tower,800.0,38,38,0.0,True,13.675884432902649
DEJU_052,DEJU,vst_DEJU_2015,2015,tower,800.0,11,11,0.0,True,2.369193132332428
DEJU_052,DEJU,vst_DEJU_2016,2016,tower,800.0,14,14,0.0,True,2.244896116013238
DEJU_052,DEJU,vst_DEJU_2021,2021,tower,800.0,17,17,0.0,True,3.516763009560991
DEJU_053,DEJU,vst_DEJU_2015,2015,tower,800.0,63,63,0.0,True,30.856604035800967
DEJU_053,DEJU,vst_DEJU_2016,2016,tower,800.0,62,62,0.0,True,27.60016043999574
DEJU_053,DEJU,vst_DEJU_2021,2021,tower,800.0,56,56,0.0,True,27.539245987229055
DEJU_054,DEJU,vst_DEJU_2015,2015,tower,800.0,45,45,0.0,True,15.170254129421453
DEJU_054,DEJU,vst_DEJU_2016,2016,tower,800.0,50,50,0.0,True,15.790590514992255
DEJU_054,DEJU,vst_DEJU_2021,2021,tower,800.0,53,53,0.0,True,18.81554446126909
DEJU_055,DEJU,vst_DEJU_2015,2015,tower,800.0,58,58,0.0,True,27.731803936997785
DEJU_055,DEJU,vst_DEJU_2016,2016,tower,800.0,56,56,0.0,True,25.314616839172356
DEJU_056,DEJU,vst_DEJU_2015,2015,tower,800.0,35,35,0.0,True,12.367550711398941
DEJU_056,DEJU,vst_DEJU_2016,2016,tower,800.0,40,40,0.0,True,11.948560082051761
DEJU_057,DEJU,vst_DEJU_2015,2015,tower,800.0,16,15,0.0625,True,6.202950649236003
DEJU_057,DEJU,vst_DEJU_2016,2016,tower,800.0,19,18,0.052631578947368474,True,6.775527330536243
DEJU_058,DEJU,vst_DEJU_2015,2015,tower,800.0,73,73,0.0,True,30.36968031404479
DEJU_058,DEJU,vst_DEJU_2016,2016,tower,800.0,77,77,0.0,True,32.35027899435979
DEJU_059,DEJU,vst_DEJU_2015,2015,tower,800.0,29,29,0.0,True,9.491919552392433
DEJU_059,DEJU,vst_DEJU_2016,2016,tower,800.0,29,29,0.0,True,9.815842835694905
DEJU_060,DEJU,vst_DEJU_2015,2015,tower,800.0,55,55,0.0,True,22.41058934071756
DEJU_060,DEJU,vst_DEJU_2016,2016,tower,800.0,59,59,0.0,True,23.530216587815588
DEJU_061,DEJU,vst_DEJU_2015,2015,tower,800.0,77,77,0.0,True,22.542790320088415
